t,gx,gy,gz,ax,ay,az
74322239416864,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322242313856,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322243904160,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322245495200,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322247088768,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322248686528,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322250286112,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322251880416,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322253472448,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322255066176,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322256660800,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322258358112,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322259989152,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322261594272,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322263252736,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322264879008,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322266493856,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322268108672,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322269719328,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322271343040,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322274175680,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322277801824,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322280548480,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322283111552,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322285997120,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322288530176,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322291214368,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322293783776,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322296412896,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322298952864,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322301464032,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322303115520,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322304721760,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322306323072,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322307910752,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322309482016,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322311174016,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322312760128,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322314334880,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322315948288,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322317544096,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322319127616,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322320697536,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322322294496,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322323892000,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322325486720,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322327086016,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322328707136,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322330330560,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322331950048,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322333567808,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322335187776,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322336823040,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322338448768,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322340072608,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322341691712,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322343339104,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322344959616,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322346583104,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322348207360,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322349829984,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322351454688,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322353077760,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322354741344,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322356406272,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322358480384,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322360115808,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322361735104,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322363426784,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322365110720,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
74322366760960,-5.7830810546875,1.3427734375,0.37384033203125,-1,-1,-1
